PUMACE10,PUMA_4dig,Column1,county_fip,county_name,GEOID10,NAME10,,,Column1,Column2,Column3,Column4,Column5,Column6,PUMA
3306,3306,3306,,Lake,1703306,"Lake County (Northwest)--Avon, Lake Villa, Antioch & Grant Townships",,,17,95,424249,0500000US17095,17095,Knox,2501
3307,3307,3307,,Lake,1703307,"Lake County (Northeast)--Waukegan, Zion, Benton & Newport Townships",,,17,97,1784796,0500000US17097,17097,Lake,
3308,3308,3308,,Lake,1703308,"Lake County (Southwest)--Ela, Freemont, Wauconda & Cuba Townships",,,17,99,422247,0500000US17099,17099,LaSalle,2400
3309,3309,3309,,Lake,1703309,"Lake County (East Central)--Warren, Libertyville (North & East) & Shields Townships",,,17,101,424252,0500000US17101,17101,Lawrence,0700
3310,3310,3310,,Lake,1703310,"Lake County--Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships",,,17,103,424253,0500000US17103,17103,Lee,0104
3401,3401,3401,,Cook,1703401,Cook County (Northwest)--Palatine & Barrington Townships,,,17,105,424254,0500000US17105,17105,Livingston,2200
3407,3407,3407,,Cook,1703407,"Cook County (West Central)--Proviso, Riverside & River Forest Townships",,,17,107,424255,0500000US17107,17107,Logan,1602
3408,3408,3408,,Cook,1703408,"Cook County (Central)--Cicero, Berwyn & Oak Park Townships",,,17,115,424256,0500000US17115,17115,Macon,
3409,3409,3409,,Cook,1703409,Cook County (West Central)--Lyons & Stickney Townships,,,17,117,424257,0500000US17117,17117,Macoupin,0401
3410,3410,3410,,Cook,1703410,"Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships",,,17,119,424258,0500000US17119,17119,Madison,
3411,3411,3411,,Cook,1703411,Cook County (South Central)--Worth & Calumet Townships,,,17,121,424259,0500000US17121,17121,Marion,1001
3412,3412,3412,,Cook,1703412,Cook County (South Central)--Bremen & Orland (East) Townships,,,17,123,424260,0500000US17123,17123,Marshall,2501
3413,3413,3413,,Cook,1703413,Cook County (Southeast)--Thornton Township,,,17,125,424261,0500000US17125,17125,Mason,0300
